player name,matches played,bat innings,bat runs,highest score,bat avg,bat sr,50s,100s,recent scores,bowl innings,overs,wickets,bowl avg,econ,bowl sr,recent bowling,role
Zhang Jones,103,87,992,119,14.77,114.25,9,2,"20, 17, 14, 16, 7",0,0,0,0,0,0,,batter
Julian Reddy,349,288,6098,101,30.83,108.03,35,2,"9, 45, 25, 25, 0",180,432.1,290,27.94,8.51,15.28,"1/26, 0/22, 1/21, 0/28, 0/14",allrounder
Anil Iyer,271,228,1461,24,20.59,136.31,1,0,"29, 7, 1, 16, 8",271,326.5,243,21.64,7.76,23.59,"0/14, 0/16, 0/21, 0/27, 0/14",bowler
Marcus Singh,107,91,702,22,20.32,151.08,0,0,"29, 11, 2, 10, 0",107,277.2,96,20.69,6.82,21.82,"0/14, 3/29, 2/15, 1/24, 0/16",bowler
Ahmed Dlamini,72,47,1316,63,29.91,119.12,4,0,"5, 35, 9, 44, 31",29,17,7,17.72,6.78,19.01,,batter
Kwame Nguyen,189,127,2002,109,14.54,199.3,31,2,"22, 22, 6, 0, 29",15,30.3,4,23.28,5.33,24.44,,batter
Lucas Watanabe,21,17,425,104,35.03,134.41,3,1,"25, 8, 43, 40, 68",22,22.1,4,31.55,7.82,24.87,,batter
Pedro Anderson,103,90,2118,122,36.08,104.82,18,4,"0, 61, 51, 32, 3",60,93.2,84,28.7,8.7,19.92,"0/34, 0/22, 0/25, 0/14, 1/13",allrounder
Farhan Mehta,122,85,317,25,5.76,79.72,0,0,"22, 12, 14, 25, 4",122,322,122,28.94,6.65,28.26,"0/22, 0/8, 2/27, 1/28, 0/23",bowler
Ayaan Moretti,215,167,79,8,15.47,109.58,0,0,"20, 29, 16, 24, 22",215,274.5,202,22.55,7.4,18.83,"0/18, 2/22, 1/36, 3/24, 1/13",bowler
Carlos Lopez,331,266,2458,115,13.8,88.19,14,9,"23, 4, 7, 23, 11",19,48.1,10,43.36,9.81,46.29,,batter
Henry Adeyemi,88,65,1907,125,39.5,170.89,6,1,"0, 48, 34, 8, 4",42,91.4,49,29.24,8.05,22.83,"6/20, 1/13, 1/18, 2/29, 0/33",allrounder
George Singh,100,81,454,121,7.6,141.3,11,3,"11, 7, 12, 8, 1",60,113.3,53,11.38,6.78,14.01,"0/18, 1/19, 2/20, 3/10, 2/12",allrounder
Santiago Brown,152,132,5225,106,41.83,134.47,31,5,"3, 3, 31, 36, 70",16,25.3,6,20.05,7.36,14.96,,batter
Emmanuel Taylor,131,103,2155,117,25.32,104.91,15,2,"12, 27, 19, 2, 8",0,0,0,0,0,0,,batter
Noah Taylor,150,114,1360,91,16.79,122.68,12,0,"28, 23, 11, 23, 0",21,16.2,4,26.39,8.11,20.87,,batter
Moses Adeyemi,309,226,5006,119,23.33,170.85,37,8,"0, 3, 7, 28, 51",26,36.5,9,20.1,8.85,17.99,,batter
